avg_min_degree,10,20,40,80,160,320,640,1280
2,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
10,2.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000
18,1.000000,3.000000,3.000000,5.000000,6.000000,8.000000,9.000000,10.000000

max_min_degree,10,20,40,80,160,320,640,1280
2,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
10,2.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000
18,1.000000,3.000000,3.000000,5.000000,6.000000,8.000000,9.000000,10.000000

trials_used,10,20,40,80,160,320,640,1280
2,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
